Text;Intent
gaji saya;pemasukan
saya gajian 70000;pemasukan
gaji saya 8000000;pemasukan
dikasih uang 80000;pemasukan
saya dikasih uang;800000
saya dikasih uang;890000
saya dapat fee;pemasukan
saya habis makan 25000;pengeluaran
dapat gaji 5 juta;pemasukan
berapa total pengeluaran saya;summary_pengeluaran
total pemasukan bulan ini;summary_pemasukan
Saya habis 4000;pengeluaran
saya belanja 800;pengeluaran
saya nonton 80000;pengeluaran
gaji saya tadi 7000000;pemasukan
saya beli siomay 700;pengeluaran
saya dapat transferan 8999;pemasukan
beli baju 7999;pengeluaran
uang hilang 5000;pengeluaran
jajan hari ini berapa;summary_pengeluaran
saya habis makan 25000;pengeluaran
dapat gaji 5 juta;pemasukan
berapa total pengeluaran saya;summary_pengeluaran
total pemasukan bulan ini;summary_pemasukan
saya habis 4000;pengeluaran
saya belanja 800;pengeluaran
saya nonton 80000;pengeluaran
gaji saya tadi 7000000;pemasukan
saya beli siomay 700;pengeluaran
saya dapat transferan 8999;pemasukan
beli baju 7999;pengeluaran
uang hilang 5000;pengeluaran
jajan hari ini berapa;summary_pengeluaran
saya baru dapet bonus 1000000;pemasukan
uang saya dipakai beli pulsa 50000;pengeluaran
tadi bayar parkir 5000;pengeluaran
pengeluaran hari ini berapa;summary_pengeluaran
tadi saya dapat insentif 300000;pemasukan
saya dapat hadiah 200000;pemasukan
saya traktir teman 100000;pengeluaran
total uang masuk hari ini berapa;summary_pemasukan
beli token listrik 100000;pengeluaran
gaji bulan ini berapa;summary_pemasukan
saya habiskan 120000 buat belanja;pengeluaran
uang untuk bensin 50000;pengeluaran
masuk uang hasil jualan 150000;pemasukan
saya dikasih uang jajan 25000;pemasukan
saya bayar hutang 100000;pengeluaran
berapa pengeluaran minggu ini;summary_pengeluaran
berapa total pendapatan saya minggu ini;summary_pemasukan
saya beli kopi 15000;pengeluaran
saya beli sarapan 10000;pengeluaran
saya dapat cashback 25000;pemasukan
tadi sore saya habiskan 90000;pengeluaran
dapat komisi 200000;pemasukan
uang masuk dari orang tua 1000000;pemasukan
saya bayarin makan siang 40000;pengeluaran
beli makan malam 60000;pengeluaran
berapa yang saya habiskan bulan ini;summary_pengeluaran
saya dapet refund 50000;pemasukan
uang saya dipakai buat servis motor 150000;pengeluaran
saya keluarin 7000 buat parkir;pengeluaran
uang keluar buat donasi 10000;pengeluaran
saya beli paket data 20000;pengeluaran
saya top up e-wallet 100000;pengeluaran
saya baru dapet transferan dari kakak 800000;pemasukan
berapa pemasukan saya hari ini;summary_pemasukan
uang keluar buat bayar kosan 500000;pengeluaran
saya beli tiket konser 450000;pengeluaran
saya dapat THR 2000000;pemasukan
uang saya terpakai untuk belanja online 300000;pengeluaran
saya habiskan 15000 untuk beli es krim;pengeluaran
berapa total pengeluaran hari ini;summary_pengeluaran
uang masuk dari klien 900000;pemasukan
saya beli cemilan 12000;pengeluaran
transfer masuk 1700000;pemasukan
uang keluar buat bayar listrik 230000;pengeluaran
uang keluar buat beli perlengkapan bayi 500000;pengeluaran
pendapatan hari ini dari jualan 400000;pemasukan
saya bayar cicilan motor 800000;pengeluaran
dapat penghasilan tambahan 600000;pemasukan
saya beli pulsa 15000;pengeluaran
pengeluaran terbesar hari ini berapa;summary_pengeluaran
total uang masuk minggu ini;summary_pemasukan
uang keluar buat bayar internet 300000;pengeluaran
berapa pengeluaran saya bulan ini;summary_pengeluaran
pemasukan saya bulan ini;summary_pemasukan
berapa income saya hari ini;summary_pemasukan
berapa gaji bulan lalu;summary_pemasukan
berapa total pemasukan bulan lalu;summary_pemasukan
berapa tabungan saya bulan ini;summary_pemasukan
berapa pemasukan saya bulan ini;summary_pemasukan
pengeluaran rutin hari ini 100000;pengeluaran
saya dapet uang dari project freelance 1000000;pemasukan
uang buat bayar asuransi 250000;pengeluaran
beli makan 50000;pengeluaran
uang masuk dari kerja lembur 150000;pemasukan
saya dapet uang dari jual hp 2000000;pemasukan
saya keluarin 30000 buat nonton bioskop;pengeluaran
pengeluaran hari ini apa aja;summary_pengeluaran
uang masuk dari komisi;summary_pemasukan
pengeluaran buat main game 50000;pengeluaran
uang saya habis buat beli sepatu 750000;pengeluaran
saya dapet transfer dari teman 50000;pemasukan
uang keluar buat beli vitamin 100000;pengeluaran
saya beli peralatan dapur 450000;pengeluaran
gaji bulan lalu 4000000;pemasukan
uang untuk bayar sekolah 1500000;pengeluaran
saya beli buku 120000;pengeluaran
uang keluar hari ini berapa;summary_pengeluaran
dapat uang dari saudara 100000;pemasukan
total income bulan ini;summary_pemasukan
saya habis uang 70000 hari ini;pengeluaran
beli hadiah ulang tahun 150000;pengeluaran
uang masuk dari bisnis 300000;pemasukan
berapa pengeluaran saya minggu ini;summary_pengeluaran
tadi dapat uang 300000;pemasukan
total pengeluaran hari ini;summary_pengeluaran
uang masuk untuk bulan Juli;summary_pemasukan
berapa yang saya habiskan minggu ini;summary_pengeluaran
saya keluar uang buat laundry 40000;pengeluaran
uang keluar karena makan di luar 90000;pengeluaran
uang masuk karena jual laptop 3000000;pemasukan
uang masuk dari affiliate 200000;pemasukan
saya beli minuman 12000;pengeluaran
tadi siang saya ditransfer 500000;pemasukan
uang keluar buat beli charger 75000;pengeluaran
saya baru bayar iuran RT 25000;pengeluaran
gaji freelance minggu ini 300000;pemasukan
habis makan malam 60000;pengeluaran
uang keluar buat bayar TV kabel 200000;pengeluaran
saya baru dapat uang lemburan 275000;pemasukan
saya habis belanja bulanan 700000;pengeluaran
berapa total pengeluaran harian saya;summary_pengeluaran
total pemasukan dari bulan lalu berapa;summary_pemasukan
hari ini saya beli gorengan 6000;pengeluaran
saya dapet gaji tambahan 1500000;pemasukan
uang keluar buat kursus online 400000;pengeluaran
transferan masuk dari istri 700000;pemasukan
uang saya terpakai buat beli sabun 30000;pengeluaran
berapa pendapatan bersih bulan ini;summary_pemasukan
uang masuk dari reseller 350000;pemasukan
pengeluaran saya kemarin apa aja;summary_pengeluaran
tadi bayar laundry kiloan 50000;pengeluaran
dapat uang dari pelanggan 90000;pemasukan
uang keluar buat servis AC 250000;pengeluaran
